sign_id,sign_name,unicode_value,character,character_image,frequency_count,contexts,variants,transliteration,classification,sources
U+18B3A,Khitan Large Script Character 18B3A,U+18B3A,𘬺,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190621'}]"
U+18B3B,Khitan Large Script Character 18B3B,U+18B3B,𘬻,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190627'}]"
U+18B3C,Khitan Large Script Character 18B3C,U+18B3C,𘬼,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190632'}]"
U+18B3D,Khitan Large Script Character 18B3D,U+18B3D,𘬽,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190638'}]"
U+18B3E,Khitan Large Script Character 18B3E,U+18B3E,𘬾,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190646'}]"
U+18B3F,Khitan Large Script Character 18B3F,U+18B3F,𘬿,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190652'}]"
U+18B40,Khitan Large Script Character 18B40,U+18B40,𘭀,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190660'}]"
U+18B41,Khitan Large Script Character 18B41,U+18B41,𘭁,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190668'}]"
U+18B42,Khitan Large Script Character 18B42,U+18B42,𘭂,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190673'}]"
U+18B43,Khitan Large Script Character 18B43,U+18B43,𘭃,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190679'}]"
U+18B44,Khitan Large Script Character 18B44,U+18B44,𘭄,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190685'}]"
U+18B45,Khitan Large Script Character 18B45,U+18B45,𘭅,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190691'}]"
U+18B46,Khitan Large Script Character 18B46,U+18B46,𘭆,,0,[],[],,Unicode Block,"[{'source_name': 'Unicode', 'url': 'Unicode Block U+18B00–U+18CFF', 'fetched_at': '2025-09-22T17:38:31.190696'}]"
